date;open;high;low;close;volume;;;
07/25/13;13,547;13,569;13,397;13,48;229682544;;;
07/26/13;13,381;13,558;13,352;13,556;200275012;;;
07/29/13;13,55;13,833;13,532;13,765;248441200;;;
07/30/13;13,832;14,053;13,809;13,935;309422260;;;
07/31/13;13,986;14,059;13,815;13,911;322957404;;;
08/01/13;14,01;14,042;13,933;14,038;206249288;;;
08/02/13;14,079;14,228;14,038;14,218;274781304;;;
08/05/13;14,285;14,468;14,207;14,431;318854368;;;
08/06/13;14,387;14,506;14,207;14,302;334914160;;;
08/07/13;14,257;14,356;14,195;14,294;298855872;;;
08/08/13;14,353;14,361;14,17;14,265;255999352;;;
08/09/13;14,192;14,248;14,037;14,062;267620836;;;
08/12/13;14,137;14,501;14,129;14,462;364433160;;;
08/13/13;14,572;15,306;14,483;15,149;881939744;;;
08/14/13;15,406;15,603;15,267;15,425;756371644;;;
08/15/13;15,361;15,546;15,134;15,407;490294028;;;
08/16/13;15,476;15,562;15,436;15,544;362303424;;;
08/19/13;15,606;15,897;15,595;15,711;510517924;;;
08/20/13;15,772;15,799;15,497;15,505;358686972;;;
08/21/13;15,583;15,693;15,509;15,545;335877220;;;
08/22/13;15,626;15,644;15,416;15,563;244206704;;;
08/23/13;15,573;15,575;15,451;15,503;222728884;;;
08/26/13;15,495;15,787;15,487;15,563;330964200;;;
08/27/13;15,41;15,549;15,048;15,118;424188436;;;
08/28/13;15,038;15,342;15,038;15,19;307606712;;;
08/29/13;15,213;15,363;15,197;15,215;239654856;;;
08/30/13;15,224;15,253;15,054;15,076;272403152;;;
09/02/13;15,224;15,253;15,054;15,076;272403152;;;
09/03/13;15,258;15,49;15,08;15,118;332100664;;;
09/04/13;15,458;15,541;15,356;15,431;345031512;;;
09/05/13;15,479;15,493;15,275;15,325;236367516;;;
09/06/13;15,423;15,452;15,161;15,416;359525012;;;
09/09/13;15,626;15,717;15,579;15,662;340686332;;;
09/10/13;15,663;15,702;15,147;15,306;743195488;;;
09/11/13;14,451;14,657;14,383;14,472;898693824;;;
09/12/13;14,497;14,71;14,42;14,626;404049884;;;
09/13/13;14,523;14,6;14,379;14,385;298833752;;;
09/16/13;14,265;14,284;13,838;13,928;548550660;;;
09/17/13;13,861;14,225;13,847;14,089;399379092;;;
09/18/13;14,332;14,43;14,254;14,379;456861216;;;
09/19/13;14,565;14,724;14,52;14,614;404538848;;;
09/20/13;14,791;14,808;14,419;14,463;699301288;;;
09/23/13;15,351;15,376;14,933;15,182;762106100;;;
09/24/13;15,313;15,331;15,095;15,134;364342972;;;
