date,open,high,low,close,volume,typical_price,ticker
2013-01-08,16.067,16.149,15.826,15.949,458707004,15.974666666666666,TESTE
2013-01-09,15.864,15.94,15.666,15.7,407599836,15.768666666666666,TESTE
2013-01-10,16.047,16.052,15.652,15.894,601141184,15.866,TESTE
2013-01-11,15.818,15.949,15.758,15.797,350754964,15.834666666666669,TESTE
2013-01-14,15.262,15.408,15.135,15.234,734177584,15.259,TESTE
2013-01-15,15.129,15.15,14.676,14.753,876771728,14.859666666666667,TESTE
2013-01-16,15.018,15.467,14.953,15.365,690800180,15.261666666666668,TESTE
2013-01-17,15.494,15.507,15.242,15.262,453650316,15.337000000000002,TESTE
2013-01-18,15.135,15.248,15.071,15.18,473149068,15.166333333333332,TESTE
2013-01-21,15.135,15.248,15.071,15.18,473149068,15.166333333333332,TESTE
2013-01-22,15.319,15.42,15.078,15.325,461544692,15.274333333333331,TESTE
2013-01-23,15.448,15.636,15.325,15.606,861503412,15.522333333333334,TESTE
2013-01-24,13.966,14.14,13.67,13.678,1460851812,13.829333333333333,TESTE
2013-01-25,13.714,13.852,13.207,13.355,1207974012,13.471333333333334,TESTE
2013-01-28,13.293,13.76,13.233,13.657,785515724,13.550000000000002,TESTE
2013-01-29,13.921,13.972,13.727,13.914,571072068,13.871,TESTE
2013-01-30,13.875,14.045,13.799,13.87,417153268,13.904666666666666,TESTE
2013-01-31,13.874,13.944,13.814,13.829,319332860,13.862333333333334,TESTE
2013-02-01,13.939,13.95,13.612,13.772,539468356,13.777999999999999,TESTE
2013-02-04,13.781,13.843,13.42,13.429,477115016,13.564,TESTE
2013-02-05,13.482,13.958,13.426,13.901,573346144,13.761666666666665,TESTE
2013-02-06,13.859,14.163,13.741,13.886,593704048,13.93,TESTE
2013-02-07,14.147,14.353,13.868,14.298,704580296,14.173,TESTE
2013-02-08,14.475,14.622,14.299,14.505,633155936,14.475333333333333,TESTE
2013-02-11,14.551,14.809,14.452,14.656,517434064,14.639000000000001,TESTE
2013-02-12,14.643,14.731,14.284,14.289,609050848,14.434666666666667,TESTE
2013-02-13,14.268,14.464,14.146,14.262,475204884,14.290666666666667,TESTE
2013-02-14,14.185,14.403,14.17,14.249,355506004,14.274000000000001,TESTE
2013-02-15,14.318,14.358,14.045,14.052,391924708,14.151666666666666,TESTE
2013-02-18,14.318,14.358,14.045,14.052,391924708,14.151666666666666,TESTE
2013-02-19,14.081,14.131,13.86,14.047,435776852,14.012666666666666,TESTE
2013-02-20,13.977,13.977,13.705,13.707,476299544,13.796333333333335,TESTE
2013-02-21,13.62,13.717,13.523,13.622,447180720,13.620666666666667,TESTE
2013-02-22,13.719,13.791,13.638,13.767,330654576,13.732,TESTE
2013-02-25,13.86,13.898,13.515,13.522,372577856,13.645000000000001,TESTE
2013-02-26,13.553,13.789,13.365,13.711,501496296,13.621666666666668,TESTE
2013-02-27,13.694,13.817,13.457,13.576,587347712,13.616666666666667,TESTE
2013-02-28,13.56,13.677,13.479,13.479,322514948,13.545,TESTE
2013-03-01,13.376,13.381,13.131,13.146,552447168,13.219333333333333,TESTE
2013-03-04,13.064,13.076,12.795,12.827,582737596,12.899333333333333,TESTE
2013-03-05,12.871,13.29,12.849,13.166,638428168,13.101666666666667,TESTE
2013-03-06,13.269,13.292,12.961,12.999,460249076,13.084000000000001,TESTE
2013-03-07,12.963,13.193,12.858,13.149,468471304,13.066666666666668,TESTE
2013-03-08,13.125,13.297,13.089,13.184,391595932,13.19,TESTE
2013-03-11,13.124,13.406,12.983,13.372,474233424,13.253666666666668,TESTE
2013-03-12,13.302,13.402,13.057,13.083,465909892,13.180666666666667,TESTE
